# tracer: nop
#
# entries-in-buffer/entries-written: 12447/14197   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-14994   [000] .... 215784.816085: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=0 snd_nxt=0x81d5e399 snd_una=0x81d5e375 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1407 rcv_wnd=62780 sock_cookie=6a
         apache2-12906   [000] .... 215790.543649: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xe86a992 snd_una=0xe867102 snd_cwnd=10 ssthresh=8 snd_wnd=261504 srtt=10135 rcv_wnd=65024 sock_cookie=6b
         apache2-12906   [000] .... 215790.551078: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xe86cb82 snd_una=0xe8692f2 snd_cwnd=10 ssthresh=8 snd_wnd=261504 srtt=10824 rcv_wnd=65024 sock_cookie=6b
         apache2-12906   [000] .... 215790.552296: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xe86d6d2 snd_una=0xe86989a snd_cwnd=10 ssthresh=8 snd_wnd=261504 srtt=11017 rcv_wnd=65024 sock_cookie=6b
         apache2-12906   [000] .... 215790.552697: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xe86d6d2 snd_una=0xe86989a snd_cwnd=9 ssthresh=7 snd_wnd=261504 srtt=11067 rcv_wnd=65024 sock_cookie=6b
         apache2-12906   [000] .... 215791.200851: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xe928ca2 snd_una=0xe925f62 snd_cwnd=8 ssthresh=8 snd_wnd=261504 srtt=12256 rcv_wnd=65024 sock_cookie=6b
         apache2-12906   [000] .... 215791.532476: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xe98b112 snd_una=0xe98678a snd_cwnd=13 ssthresh=10 snd_wnd=262656 srtt=14409 rcv_wnd=65024 sock_cookie=6b
         apache2-12906   [000] .... 215791.697436: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xe9bce9a snd_una=0xe9b68ca snd_cwnd=18 ssthresh=13 snd_wnd=262656 srtt=19288 rcv_wnd=65024 sock_cookie=6b
##### CPU 1 buffer started ####
          <idle>-0       [001] ..s. 215792.457547: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xea97bd2 snd_una=0xea948ea snd_cwnd=10 ssthresh=10 snd_wnd=261504 srtt=16397 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.459865: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xea98722 snd_una=0xea9543a snd_cwnd=10 ssthresh=10 snd_wnd=261504 srtt=16300 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.462707: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xea99272 snd_una=0xea95f8a snd_cwnd=10 ssthresh=10 snd_wnd=261504 srtt=15853 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.464639: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xea9a912 snd_una=0xea96ada snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=15588 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.467176: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xea9b462 snd_una=0xea9762a snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=15143 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.469793: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xea9bfb2 snd_una=0xea9817a snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=14733 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.472172: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xea9cb02 snd_una=0xea98cca snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=14421 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.474588: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xea9d652 snd_una=0xea9981a snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=14157 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.476991: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xea9e1a2 snd_una=0xea9a36a snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=13872 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.479239: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xea9ecf2 snd_una=0xea9aeba snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=13923 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.481945: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xea9f842 snd_una=0xea9ba0a snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=14007 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.484167: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xeaa0392 snd_una=0xea9c55a snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=14101 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.486623: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xeaa0ee2 snd_una=0xea9d0aa snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=14135 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.489000: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xeaa1a32 snd_una=0xea9dbfa snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=14174 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.491356: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xeaa2582 snd_una=0xea9e74a snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=14203 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.494041: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xeaa30d2 snd_una=0xea9f29a snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=14223 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.496195: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xeaa3c22 snd_una=0xea9fdea snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=14294 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.498693: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xeaa4772 snd_una=0xeaa093a snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=14289 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.499720: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xeaa52c2 snd_una=0xeaa0ee2 snd_cwnd=11 ssthresh=10 snd_wnd=261504 srtt=14318 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.503896: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xeaa52c2 snd_una=0xeaa0ee2 snd_cwnd=10 ssthresh=7 snd_wnd=261504 srtt=13867 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.505103: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xeaa586a snd_una=0xeaa0ee2 snd_cwnd=10 ssthresh=7 snd_wnd=261504 srtt=13995 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.505347: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xeaa5e12 snd_una=0xeaa0ee2 snd_cwnd=9 ssthresh=7 snd_wnd=261504 srtt=13964 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.506432: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xeaa63ba snd_una=0xeaa0ee2 snd_cwnd=9 ssthresh=7 snd_wnd=261504 srtt=13631 rcv_wnd=65024 sock_cookie=6b
          <idle>-0       [001] ..s. 215792.507380: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41492 mark=0x0 data_len=0 snd_nxt=0xeaa63ba snd_una=0xeaa0ee2 snd_cwnd=8 ssthresh=7 snd_wnd=261504 srtt=13475 rcv_wnd=65024 sock_cookie=6b
