# tracer: nop
#
# entries-in-buffer/entries-written: 867/867   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-14994   [001] .... 222410.217001: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=0 snd_nxt=0x81df5b1d snd_una=0x81df5af9 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1403 rcv_wnd=62780 sock_cookie=6a
          <idle>-0       [000] .Ns. 222414.784797: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=0 snd_nxt=0xfcb61f95 snd_una=0xfcb5f16c snd_cwnd=10 ssthresh=2147483647 snd_wnd=64256 srtt=19290 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] .Ns. 222414.787240: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=24 snd_nxt=0xfcb62ae5 snd_una=0xfcb5f1b3 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=20020 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] .Ns. 222414.787560: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=27 snd_nxt=0xfcb62ae5 snd_una=0xfcb5f1b3 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=20020 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] .Ns. 222414.790455: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=13 snd_nxt=0xfcb62ae5 snd_una=0xfcb5f1b3 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=20020 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] ..s. 222414.803309: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=0 snd_nxt=0xfcb62ae5 snd_una=0xfcb5f1b3 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=20020 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] ..s. 222414.805007: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=9 snd_nxt=0xfcb63635 snd_una=0xfcb5f255 snd_cwnd=12 ssthresh=2147483647 snd_wnd=64128 srtt=22458 rcv_wnd=65024 sock_cookie=71
     ksoftirqd/0-9       [000] ..s. 222414.858285: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=9 snd_nxt=0xfcb63635 snd_una=0xfcb5f255 snd_cwnd=12 ssthresh=2147483647 snd_wnd=64128 srtt=22458 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] .Ns. 222414.925448: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=0 snd_nxt=0xfcb63bdd snd_una=0xfcb5f255 snd_cwnd=12 ssthresh=2147483647 snd_wnd=64128 srtt=22458 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] ..s. 222415.046461: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=0 snd_nxt=0xfcb64185 snd_una=0xfcb5f7fd snd_cwnd=3 ssthresh=9 snd_wnd=64128 srtt=39635 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] ..s. 222415.082146: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=73 snd_nxt=0xfcb64cd5 snd_una=0xfcb5fda5 snd_cwnd=14 ssthresh=2147483647 snd_wnd=64128 srtt=69805 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] ..s. 222415.209840: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=0 snd_nxt=0xfcb64cd5 snd_una=0xfcb5fda5 snd_cwnd=14 ssthresh=2147483647 snd_wnd=64128 srtt=69805 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] ..s. 222415.287824: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=0 snd_nxt=0xfcb65825 snd_una=0xfcb6034d snd_cwnd=15 ssthresh=2147483647 snd_wnd=64128 srtt=116614 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] ..s. 222415.408925: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=0 snd_nxt=0xfcb66375 snd_una=0xfcb608f5 snd_cwnd=16 ssthresh=2147483647 snd_wnd=64128 srtt=167318 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] ..s. 222415.526185: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=73 snd_nxt=0xfcb66ec5 snd_una=0xfcb60e9d snd_cwnd=17 ssthresh=2147483647 snd_wnd=64128 srtt=226822 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] ..s. 222415.530066: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=0 snd_nxt=0xfcb66ec5 snd_una=0xfcb60e9d snd_cwnd=17 ssthresh=2147483647 snd_wnd=64128 srtt=226822 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] ..s. 222415.651196: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=0 snd_nxt=0xfcb67a15 snd_una=0xfcb61445 snd_cwnd=18 ssthresh=2147483647 snd_wnd=64128 srtt=294031 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] ..s. 222415.813533: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=0 snd_nxt=0xfcb68565 snd_una=0xfcb619ed snd_cwnd=19 ssthresh=2147483647 snd_wnd=64128 srtt=367980 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] ..s. 222415.936720: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=0 snd_nxt=0xfcb690b5 snd_una=0xfcb61f95 snd_cwnd=20 ssthresh=2147483647 snd_wnd=64128 srtt=452977 rcv_wnd=65024 sock_cookie=71
          <idle>-0       [000] ..s. 222416.057030: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:35358 mark=0x0 data_len=0 snd_nxt=0xfcb69c05 snd_una=0xfcb6253d snd_cwnd=21 ssthresh=2147483647 snd_wnd=64128 srtt=540344 rcv_wnd=65024 sock_cookie=71
