# tracer: nop
#
# entries-in-buffer/entries-written: 12461/40776   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-14994   [000] .... 218241.037895: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=0 snd_nxt=0x81da3e6d snd_una=0x81da3e49 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1543 rcv_wnd=62780 sock_cookie=6a
          <idle>-0       [000] ..s. 218241.576290: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=36 snd_nxt=0x81da3e6d snd_una=0x81da3e6d snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1548 rcv_wnd=62780 sock_cookie=6a
            sshd-14994   [000] .... 218241.581334: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=0 snd_nxt=0x81da3e91 snd_una=0x81da3e6d snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1548 rcv_wnd=62780 sock_cookie=6a
            sshd-14994   [000] .... 218241.583435: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=0 snd_nxt=0x81da3ebd snd_una=0x81da3e91 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1561 rcv_wnd=62780 sock_cookie=6a
          <idle>-0       [000] ..s. 218242.119999: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=36 snd_nxt=0x81da3ebd snd_una=0x81da3ebd snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1617 rcv_wnd=62780 sock_cookie=6a
            sshd-14994   [000] .N.. 218242.142348: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=0 snd_nxt=0x81da3f95 snd_una=0x81da3ee1 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1562 rcv_wnd=62780 sock_cookie=6a
          <idle>-0       [000] ..s. 218242.144504: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=0 snd_nxt=0x81da3fb9 snd_una=0x81da3f95 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1598 rcv_wnd=62780 sock_cookie=6a
          <idle>-0       [000] ..s. 218351.382550: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=36 snd_nxt=0x81da3fb9 snd_una=0x81da3fb9 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1598 rcv_wnd=62780 sock_cookie=6a
            sshd-14994   [000] .... 218351.385809: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=0 snd_nxt=0x81da3fdd snd_una=0x81da3fb9 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1598 rcv_wnd=62780 sock_cookie=6a
          <idle>-0       [000] ..s. 218352.016642: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=36 snd_nxt=0x81da3fdd snd_una=0x81da3fdd snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1554 rcv_wnd=62780 sock_cookie=6a
