# tracer: nop
#
# entries-in-buffer/entries-written: 12429/47603   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-11586   [001] .... 160406.469858: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:39774 mark=0x0 data_len=0 snd_nxt=0x214ceac1 snd_una=0x214cea9d snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1588 rcv_wnd=62687 sock_cookie=66
          <idle>-0       [000] ..s. 161060.549313: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f4ffd66 snd_una=0x7f4b04be snd_cwnd=98 ssthresh=95 snd_wnd=3144704 srtt=1617966 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.555993: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f50030e snd_una=0x7f4b04be snd_cwnd=98 ssthresh=95 snd_wnd=3144704 srtt=1619479 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.568077: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f50030e snd_una=0x7f4b04be snd_cwnd=97 ssthresh=95 snd_wnd=3144704 srtt=1618611 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.579992: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5008b6 snd_una=0x7f4b04be snd_cwnd=97 ssthresh=95 snd_wnd=3144704 srtt=1619363 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.592306: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f500e5e snd_una=0x7f4b04be snd_cwnd=97 ssthresh=95 snd_wnd=3144704 srtt=1618451 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.604550: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f500e5e snd_una=0x7f4b04be snd_cwnd=96 ssthresh=95 snd_wnd=3144704 srtt=1619193 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.616926: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f500e5e snd_una=0x7f4b04be snd_cwnd=95 ssthresh=95 snd_wnd=3144704 srtt=1618360 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.629103: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f501406 snd_una=0x7f4b04be snd_cwnd=95 ssthresh=95 snd_wnd=3144704 srtt=1619178 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.641141: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5019ae snd_una=0x7f4b04be snd_cwnd=95 ssthresh=95 snd_wnd=3144704 srtt=1619864 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.653315: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f501f56 snd_una=0x7f4b04be snd_cwnd=95 ssthresh=95 snd_wnd=3144704 srtt=1621969 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.663949: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5024fe snd_una=0x7f4b04be snd_cwnd=95 ssthresh=95 snd_wnd=3144704 srtt=1623866 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.675821: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f502aa6 snd_una=0x7f4e114e snd_cwnd=95 ssthresh=95 snd_wnd=3012096 srtt=1625383 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.688562: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f50304e snd_una=0x7f4e16f6 snd_cwnd=95 ssthresh=95 snd_wnd=3144704 srtt=1626447 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.700668: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5035f6 snd_una=0x7f4e1c9e snd_cwnd=95 ssthresh=95 snd_wnd=3144704 srtt=1627395 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.711788: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f503b9e snd_una=0x7f4e2246 snd_cwnd=95 ssthresh=95 snd_wnd=3144704 srtt=1626723 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.724174: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f504146 snd_una=0x7f4e27ee snd_cwnd=95 ssthresh=95 snd_wnd=3144704 srtt=1626028 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.736756: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5046ee snd_una=0x7f4e2d96 snd_cwnd=95 ssthresh=95 snd_wnd=3144704 srtt=1623943 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] .Ns. 161060.748878: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f504c96 snd_una=0x7f4e333e snd_cwnd=95 ssthresh=95 snd_wnd=3144704 srtt=1622196 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.760448: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f50523e snd_una=0x7f4e38e6 snd_cwnd=95 ssthresh=95 snd_wnd=3144704 srtt=1619166 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.772569: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5057e6 snd_una=0x7f4e3e8e snd_cwnd=95 ssthresh=95 snd_wnd=3144704 srtt=1616425 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.784650: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f506336 snd_una=0x7f4e4436 snd_cwnd=96 ssthresh=95 snd_wnd=3144704 srtt=1614026 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.796840: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5068de snd_una=0x7f4e49de snd_cwnd=96 ssthresh=95 snd_wnd=3144704 srtt=1610423 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.808909: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f506e86 snd_una=0x7f4e4f86 snd_cwnd=96 ssthresh=95 snd_wnd=3144704 srtt=1607284 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.820915: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f50742e snd_una=0x7f4e552e snd_cwnd=96 ssthresh=95 snd_wnd=3144704 srtt=1603011 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.833299: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5079d6 snd_una=0x7f4e5ad6 snd_cwnd=96 ssthresh=95 snd_wnd=3144704 srtt=1599258 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.845416: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f507f7e snd_una=0x7f4e607e snd_cwnd=96 ssthresh=95 snd_wnd=3144704 srtt=1594500 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.870234: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f508526 snd_una=0x7f4e6626 snd_cwnd=96 ssthresh=95 snd_wnd=3144704 srtt=1590333 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.893763: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f509076 snd_una=0x7f4e7176 snd_cwnd=96 ssthresh=95 snd_wnd=3144704 srtt=1588262 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.917888: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f509bc6 snd_una=0x7f4e7cc6 snd_cwnd=97 ssthresh=95 snd_wnd=3144704 srtt=1584829 rcv_wnd=65024 sock_cookie=69
