# tracer: nop
#
# entries-in-buffer/entries-written: 1798/1798   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [001] ..s. 159941.070436: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:39774 mark=0x0 data_len=0 snd_nxt=0x214b542d snd_una=0x214b5409 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1412 rcv_wnd=62687 sock_cookie=66
     ksoftirqd/1-18      [001] ..s. 159941.072569: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:39774 mark=0x0 data_len=0 snd_nxt=0x214b5451 snd_una=0x214b542d snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1418 rcv_wnd=62687 sock_cookie=66
          <idle>-0       [001] ..s. 159946.259887: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:57906 mark=0x0 data_len=36 snd_nxt=0x4f938c3d snd_una=0x4f938c3d snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1602 rcv_wnd=62780 sock_cookie=67
          <idle>-0       [001] ..s. 159946.266370: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:57906 mark=0x0 data_len=0 snd_nxt=0x4f938c61 snd_una=0x4f938c3d snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1602 rcv_wnd=62780 sock_cookie=67
          <idle>-0       [001] ..s. 159946.588947: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:57906 mark=0x0 data_len=36 snd_nxt=0x4f938c61 snd_una=0x4f938c61 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1561 rcv_wnd=62780 sock_cookie=67
          <idle>-0       [001] ..s. 159946.599112: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:57906 mark=0x0 data_len=0 snd_nxt=0x4f938c85 snd_una=0x4f938c61 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1561 rcv_wnd=62780 sock_cookie=67
          <idle>-0       [001] ..s. 159946.894449: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:57906 mark=0x0 data_len=36 snd_nxt=0x4f938c85 snd_una=0x4f938c85 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1541 rcv_wnd=62780 sock_cookie=67
          <idle>-0       [001] ..s. 159946.906707: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:57906 mark=0x0 data_len=0 snd_nxt=0x4f938ca9 snd_una=0x4f938c85 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1541 rcv_wnd=62780 sock_cookie=67
         apache2-7207    [001] .... 160003.157771: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf84c7479 snd_una=0xf84c5242 snd_cwnd=10 ssthresh=2147483647 snd_wnd=64256 srtt=9905 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [001] .... 160003.157781: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=24 snd_nxt=0xf84c7479 snd_una=0xf84c5289 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=9414 rcv_wnd=65024 sock_cookie=68
