# tracer: nop
#
# entries-in-buffer/entries-written: 1893/1893   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [000] ..s. 228446.939325: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d56e0d snd_una=0xa3d56de9 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1640 rcv_wnd=62780 sock_cookie=72
          <idle>-0       [001] ..s. 228452.291192: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dc3024 snd_una=0x5dc0281 snd_cwnd=10 ssthresh=2147483647 snd_wnd=64256 srtt=208021 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228452.293655: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=24 snd_nxt=0x5dc3b74 snd_una=0x5dc02c8 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=208052 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228452.293776: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=27 snd_nxt=0x5dc3b74 snd_una=0x5dc02c8 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=208052 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228452.294874: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=13 snd_nxt=0x5dc3b74 snd_una=0x5dc02c8 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=208052 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228452.295898: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=9 snd_nxt=0x5dc46c4 snd_una=0x5dc02e4 snd_cwnd=12 ssthresh=2147483647 snd_wnd=64256 srtt=208214 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228452.356919: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dc46c4 snd_una=0x5dc02e4 snd_cwnd=12 ssthresh=2147483647 snd_wnd=64256 srtt=208214 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] .Ns. 228452.417905: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dc5214 snd_una=0x5dc088c snd_cwnd=13 ssthresh=2147483647 snd_wnd=64128 srtt=215685 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228452.477872: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dc5d64 snd_una=0x5dc0e34 snd_cwnd=14 ssthresh=2147483647 snd_wnd=64128 srtt=229846 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228452.537975: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dc68b4 snd_una=0x5dc13dc snd_cwnd=15 ssthresh=2147483647 snd_wnd=64128 srtt=249689 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228452.598414: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dc7404 snd_una=0x5dc1984 snd_cwnd=16 ssthresh=2147483647 snd_wnd=64128 srtt=274564 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228452.658381: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dc7f54 snd_una=0x5dc1f2c snd_cwnd=17 ssthresh=2147483647 snd_wnd=64128 srtt=303729 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228452.718739: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dc8aa4 snd_una=0x5dc24d4 snd_cwnd=18 ssthresh=2147483647 snd_wnd=64128 srtt=336743 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228452.721726: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=9 snd_nxt=0x5dc95f4 snd_una=0x5dc2a7c snd_cwnd=19 ssthresh=2147483647 snd_wnd=64128 srtt=373176 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228452.782025: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dc95f4 snd_una=0x5dc2a7c snd_cwnd=19 ssthresh=2147483647 snd_wnd=64128 srtt=373176 rcv_wnd=65024 sock_cookie=75
     quic_server-15972   [001] ..s. 228452.963639: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dca144 snd_una=0x5dc3024 snd_cwnd=20 ssthresh=2147483647 snd_wnd=64128 srtt=412965 rcv_wnd=65024 sock_cookie=75
     quic_server-15972   [001] ..s. 228453.025234: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dcac94 snd_una=0x5dc35cc snd_cwnd=21 ssthresh=2147483647 snd_wnd=64128 srtt=445399 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228453.144214: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dcb7e4 snd_una=0x5dc3b74 snd_cwnd=22 ssthresh=2147483647 snd_wnd=64128 srtt=481478 rcv_wnd=65024 sock_cookie=75
     quic_server-15972   [001] ..s. 228453.213885: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dcc334 snd_una=0x5dc411c snd_cwnd=23 ssthresh=2147483647 snd_wnd=64128 srtt=527460 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228453.337769: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dcd9d4 snd_una=0x5dc4c6c snd_cwnd=25 ssthresh=2147483647 snd_wnd=64128 srtt=576404 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228453.458192: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dce524 snd_una=0x5dc57bc snd_cwnd=25 ssthresh=25 snd_wnd=64128 srtt=626958 rcv_wnd=65024 sock_cookie=75
          <idle>-0       [001] ..s. 228453.629590: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:34836 mark=0x0 data_len=0 snd_nxt=0x5dcf074 snd_una=0x5dc630c snd_cwnd=25 ssthresh=25 snd_wnd=64128 srtt=678623 rcv_wnd=65024 sock_cookie=75
