# tracer: nop
#
# entries-in-buffer/entries-written: 4728/4728   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [001] ..s. 234985.401068: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d95145 snd_una=0xa3d95121 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1279 rcv_wnd=62780 sock_cookie=72
          <idle>-0       [001] ..s. 234987.445200: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf387d43a snd_una=0xf387d43a snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1495 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [001] ..s. 234987.447795: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf387d45e snd_una=0xf387d43a snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1495 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [001] ..s. 234987.666545: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf387d45e snd_una=0xf387d45e snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1392 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [001] ..s. 234987.670434: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf387d482 snd_una=0xf387d45e snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1392 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [001] ..s. 234988.090732: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf387d482 snd_una=0xf387d482 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1371 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [001] ..s. 234988.094276: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf387d4a6 snd_una=0xf387d482 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1371 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [001] ..s. 234988.535754: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf387d4a6 snd_una=0xf387d4a6 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1354 rcv_wnd=62780 sock_cookie=6d
            sshd-14793   [001] .... 234988.542317: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf387d4ca snd_una=0xf387d4a6 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1354 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 235020.021608: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe4026eb snd_una=0xfe3ff948 snd_cwnd=10 ssthresh=2147483647 snd_wnd=64256 srtt=732021 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.021799: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=24 snd_nxt=0xfe40323b snd_una=0xfe3ff98f snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=734184 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.021965: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=27 snd_nxt=0xfe40323b snd_una=0xfe3ff98f snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=734184 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.023622: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=13 snd_nxt=0xfe40323b snd_una=0xfe3ff98f snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=734184 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.032550: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe40323b snd_una=0xfe3ff98f snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=734184 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.032721: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=9 snd_nxt=0xfe403d8b snd_una=0xfe3ff9ab snd_cwnd=12 ssthresh=2147483647 snd_wnd=64256 srtt=737092 rcv_wnd=65024 sock_cookie=7c
         apache2-12926   [000] ..s. 235020.044983: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe403d8b snd_una=0xfe3ff9ab snd_cwnd=12 ssthresh=2147483647 snd_wnd=64256 srtt=737092 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.056708: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe4048db snd_una=0xfe3fff53 snd_cwnd=13 ssthresh=2147483647 snd_wnd=64128 srtt=740916 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.068698: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe40542b snd_una=0xfe4004fb snd_cwnd=14 ssthresh=2147483647 snd_wnd=64128 srtt=745727 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.081138: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe405f7b snd_una=0xfe400aa3 snd_cwnd=15 ssthresh=2147483647 snd_wnd=64128 srtt=751410 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235020.093232: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe406acb snd_una=0xfe40104b snd_cwnd=16 ssthresh=2147483647 snd_wnd=64128 srtt=757939 rcv_wnd=65024 sock_cookie=7c
