# tracer: nop
#
# entries-in-buffer/entries-written: 2022/2022   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-15643   [000] .Ns. 227544.012682: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d53be9 snd_una=0xa3d53bc5 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1688 rcv_wnd=62780 sock_cookie=72
     quic_server-15875   [001] ..s. 227551.957605: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecaf267 snd_una=0xdecac43e snd_cwnd=10 ssthresh=2147483647 snd_wnd=64256 srtt=405937 rcv_wnd=65024 sock_cookie=74
     quic_server-15875   [001] ..s. 227551.958382: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=24 snd_nxt=0xdecafdb7 snd_una=0xdecac485 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=405686 rcv_wnd=65024 sock_cookie=74
     quic_server-15875   [001] ..s. 227551.961045: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=27 snd_nxt=0xdecafdb7 snd_una=0xdecac485 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=405686 rcv_wnd=65024 sock_cookie=74
     quic_server-15875   [001] ..s. 227551.961195: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=13 snd_nxt=0xdecafdb7 snd_una=0xdecac485 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=405686 rcv_wnd=65024 sock_cookie=74
     quic_server-15875   [001] ..s. 227551.961362: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecafdb7 snd_una=0xdecac485 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=405686 rcv_wnd=65024 sock_cookie=74
     quic_server-15875   [001] ..s. 227551.964125: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=9 snd_nxt=0xdecb0907 snd_una=0xdecac527 snd_cwnd=12 ssthresh=2147483647 snd_wnd=64128 srtt=405485 rcv_wnd=65024 sock_cookie=74
     quic_server-15875   [001] ..s. 227551.973736: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecb0907 snd_una=0xdecac527 snd_cwnd=12 ssthresh=2147483647 snd_wnd=64128 srtt=405485 rcv_wnd=65024 sock_cookie=74
     quic_server-15875   [001] ..s1 227551.986111: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecb1457 snd_una=0xdecacacf snd_cwnd=13 ssthresh=2147483647 snd_wnd=64128 srtt=406602 rcv_wnd=65024 sock_cookie=74
     quic_server-15875   [001] ..s. 227551.997803: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecb1fa7 snd_una=0xdecad077 snd_cwnd=14 ssthresh=2147483647 snd_wnd=64128 srtt=409126 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227552.009896: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecb2af7 snd_una=0xdecad61f snd_cwnd=15 ssthresh=2147483647 snd_wnd=64128 srtt=412796 rcv_wnd=65024 sock_cookie=74
     quic_server-15875   [001] ..s. 227552.021570: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecb3647 snd_una=0xdecadbc7 snd_cwnd=16 ssthresh=2147483647 snd_wnd=64128 srtt=417520 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227552.034040: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecb4197 snd_una=0xdecae16f snd_cwnd=17 ssthresh=2147483647 snd_wnd=64128 srtt=423111 rcv_wnd=65024 sock_cookie=74
