# tracer: nop
#
# entries-in-buffer/entries-written: 1993/1993   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-15643   [000] .... 229186.902148: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d5ad21 snd_una=0xa3d5acfd snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1668 rcv_wnd=62780 sock_cookie=72
          <idle>-0       [000] ..s. 229188.572110: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf387908a snd_una=0xf387908a snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1335 rcv_wnd=62780 sock_cookie=6d
            sshd-14793   [000] .... 229188.577075: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf38790ae snd_una=0xf387908a snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1335 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 229188.900207: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf38790ae snd_una=0xf38790ae snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1443 rcv_wnd=62780 sock_cookie=6d
            sshd-14793   [000] .... 229188.904757: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf38790d2 snd_una=0xf38790ae snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1443 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 229189.511949: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf38790d2 snd_una=0xf38790d2 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1515 rcv_wnd=62780 sock_cookie=6d
            sshd-14793   [000] .... 229189.534353: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf38790f6 snd_una=0xf38790d2 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1515 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [001] ..s. 229193.731294: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ab936f snd_una=0xb4ab6aee snd_cwnd=10 ssthresh=2147483647 snd_wnd=64256 srtt=104119 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229193.731782: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=24 snd_nxt=0xb4ab9ebf snd_una=0xb4ab6b35 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=104259 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229193.732182: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=27 snd_nxt=0xb4ab9ebf snd_una=0xb4ab6b35 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=104259 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229193.734492: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=13 snd_nxt=0xb4ab9ebf snd_una=0xb4ab6b35 snd_cwnd=11 ssthresh=2147483647 snd_wnd=64256 srtt=104259 rcv_wnd=65024 sock_cookie=76
