# tracer: nop
#
# entries-in-buffer/entries-written: 4207/4207   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [001] ..s. 230741.433736: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d7a0f5 snd_una=0xa3d7a0d1 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1399 rcv_wnd=62780 sock_cookie=72
          <idle>-0       [001] ..s. 230742.920005: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf387c872 snd_una=0xf387c872 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1466 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [001] ..s. 230742.923404: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf387c896 snd_una=0xf387c872 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1466 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 230747.699769: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73da52f3 snd_una=0x73da2550 snd_cwnd=10 ssthresh=216 snd_wnd=64256 srtt=103868 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.700179: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=24 snd_nxt=0x73da5e43 snd_una=0x73da2597 snd_cwnd=11 ssthresh=216 snd_wnd=64256 srtt=103778 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.702426: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73da5e43 snd_una=0x73da2597 snd_cwnd=11 ssthresh=216 snd_wnd=64256 srtt=103778 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.702788: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=27 snd_nxt=0x73da6993 snd_una=0x73da25b3 snd_cwnd=12 ssthresh=216 snd_wnd=64256 srtt=103914 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.704531: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=13 snd_nxt=0x73da6993 snd_una=0x73da25b3 snd_cwnd=12 ssthresh=216 snd_wnd=64256 srtt=103914 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.704536: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=9 snd_nxt=0x73da6993 snd_una=0x73da25b3 snd_cwnd=12 ssthresh=216 snd_wnd=64256 srtt=103914 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] .Ns. 230747.716034: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73da6993 snd_una=0x73da25b3 snd_cwnd=12 ssthresh=216 snd_wnd=64256 srtt=103914 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.727867: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73da74e3 snd_una=0x73da2b5b snd_cwnd=13 ssthresh=216 snd_wnd=64128 srtt=105277 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.739862: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73da8033 snd_una=0x73da3103 snd_cwnd=14 ssthresh=216 snd_wnd=64128 srtt=107948 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.752533: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73da8b83 snd_una=0x73da36ab snd_cwnd=15 ssthresh=216 snd_wnd=64128 srtt=111747 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.764406: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73da96d3 snd_una=0x73da3c53 snd_cwnd=16 ssthresh=216 snd_wnd=64128 srtt=116656 rcv_wnd=65024 sock_cookie=7b
         apache2-12912   [001] .... 230747.776565: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73daa223 snd_una=0x73da41fb snd_cwnd=17 ssthresh=216 snd_wnd=64128 srtt=122238 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.788659: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73daad73 snd_una=0x73da47a3 snd_cwnd=18 ssthresh=216 snd_wnd=64128 srtt=128642 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.800575: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dab8c3 snd_una=0x73da4d4b snd_cwnd=19 ssthresh=216 snd_wnd=64128 srtt=135758 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.814766: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dac413 snd_una=0x73da52f3 snd_cwnd=20 ssthresh=216 snd_wnd=64128 srtt=143473 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.828242: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dacf63 snd_una=0x73da589b snd_cwnd=21 ssthresh=216 snd_wnd=64128 srtt=139912 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.851319: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dadab3 snd_una=0x73da5e43 snd_cwnd=22 ssthresh=216 snd_wnd=64128 srtt=138481 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.875622: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73daf153 snd_una=0x73da6993 snd_cwnd=24 ssthresh=216 snd_wnd=64128 srtt=139782 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.899358: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73db07f3 snd_una=0x73da74e3 snd_cwnd=26 ssthresh=216 snd_wnd=64128 srtt=142257 rcv_wnd=65024 sock_cookie=7b
     quic_server-16203   [000] ..s. 230747.923980: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73db1e93 snd_una=0x73da8033 snd_cwnd=28 ssthresh=216 snd_wnd=64128 srtt=145910 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.948250: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73db3533 snd_una=0x73da8b83 snd_cwnd=30 ssthresh=216 snd_wnd=64128 srtt=150685 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.972554: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73db4bd3 snd_una=0x73da96d3 snd_cwnd=32 ssthresh=216 snd_wnd=64128 srtt=156314 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.983829: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73db6273 snd_una=0x73daa223 snd_cwnd=34 ssthresh=216 snd_wnd=64128 srtt=162792 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.985708: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=13 snd_nxt=0x73db6dc3 snd_una=0x73daa7cb snd_cwnd=35 ssthresh=216 snd_wnd=67072 srtt=168350 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230747.996026: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73db6dc3 snd_una=0x73daa7cb snd_cwnd=35 ssthresh=216 snd_wnd=67072 srtt=168350 rcv_wnd=65024 sock_cookie=7b
